STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,QUARTER,YEAR,All Sky Surface Total PAR (MJ/m^2/day),All Sky Surface UV Index (W m-2 x 40),deg Cloud Amount (%),Surface Soil Wetness (1),Precipitation Corrected (mm/day),Surface Pressure (kPa),Specific Humidity at 2 Meters (g/kg),Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Earth Skin Temperature (C),Wind Direction at 2 Meters (Degrees),Wind Speed at 10 Meters Range (m/s),Wind Speed at 2 Meters (m/s),CAUSE_SUM,CAUSE_RATE,lat,lon
KEBBI,16,44,2,62,248,28,276,378,47,1,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1,2,Q4,2021,9.34,1.8633333333333333,26.91,0.4833333333333333,0.2166666666666666,98.34,11.46,24.00333333333333,14.86,23.863333333333333,81.23333333333333,2.19,1.24,338,5.451612903225806,12.4504,4.1999
KOGI,36,84,17,137,428,68,496,1207,105,0,5,7,15,1,0,20,7,0,16,3,5,1,0,0,39,8,Q4,2021,8.236666666666666,1.7333333333333334,54.403333333333336,0.8666666666666667,8.966666666666667,98.88,16.386666666666667,25.21,21.37333333333333,24.93,175.33333333333334,2.4,1.3233333333333333,633,4.62043795620438,7.733,6.6906
KWARA,35,63,10,108,365,76,441,782,64,0,4,6,2,0,0,18,9,0,3,0,0,0,0,0,26,4,Q4,2021,8.556666666666667,1.8133333333333328,51.95333333333334,0.6566666666666666,2.2466666666666666,97.71999999999998,14.906666666666666,25.316666666666663,19.566666666666663,25.166666666666668,101.63333333333333,2.563333333333333,1.3833333333333335,549,5.083333333333333,8.9669,4.3874
LAGOS,24,84,51,159,262,43,305,751,84,0,4,17,6,0,0,12,13,1,5,1,0,2,0,3,1,7,Q4,2021,8.216666666666667,1.74,58.49666666666667,0.7600000000000001,4.39,100.74333333333334,18.736666666666668,26.846666666666664,24.05,27.136666666666667,227.96666666666667,1.63,1.856666666666667,464,2.918238993710692,6.5244,3.3792
NASARAWA,44,207,12,263,686,59,745,1417,92,1,4,25,9,4,8,22,20,22,4,6,0,3,0,0,33,48,Q4,2021,8.860000000000001,1.8866666666666667,52.653333333333336,0.7066666666666667,3.9966666666666666,98.26666666666668,14.883333333333333,25.06,19.57333333333333,24.76,117.4,2.3366666666666664,1.24,1008,3.832699619771863,8.54,7.7197
NIGER,50,129,1,180,759,108,867,1377,154,0,7,2,7,2,0,21,6,1,6,3,0,0,0,3,9,4,Q4,2021,8.87,1.82,45.653333333333336,0.5166666666666666,2.2833333333333337,99.56,14.713333333333331,26.346666666666668,19.576666666666664,26.37,106.43333333333334,2.29,1.1566666666666667,1047,5.816666666666666,9.0819,6.019
OGUN,71,169,46,286,633,129,762,1920,239,1,0,17,0,0,0,18,9,0,11,0,0,0,0,0,0,4,Q4,2021,8.216666666666667,1.74,58.49666666666667,0.89,5.183333333333334,99.99666666666668,18.33333333333333,25.86,23.543333333333333,25.883333333333336,156.0,1.4233333333333331,0.9233333333333332,1048,3.664335664335664,6.998,3.4737
ONDO,39,78,17,134,247,62,309,797,95,1,6,1,9,1,0,10,29,5,2,0,0,0,0,2,1,0,Q4,2021,8.136666666666667,1.7266666666666666,57.77333333333333,0.93,11.77,96.78000000000002,16.933333333333334,24.526666666666667,21.66,24.30333333333333,173.36666666666667,1.7933333333333332,0.98,443,3.3059701492537314,7.2508,5.2103
OSUN,27,64,16,107,302,63,365,813,73,0,9,5,6,0,2,11,6,1,19,0,0,0,0,0,0,2,Q4,2021,8.0,1.7033333333333334,58.79,0.94,9.48,98.13,17.45,25.00333333333333,22.376666666666665,24.81,163.76666666666668,1.3833333333333335,0.7533333333333333,472,4.411214953271028,7.5629,4.52
OYO,53,98,12,163,494,93,587,1213,101,1,12,7,8,2,2,15,17,2,10,0,1,1,0,5,1,0,Q4,2021,8.166666666666666,1.71,54.56666666666666,0.8933333333333332,5.02,97.83666666666666,16.64,24.926666666666662,21.496666666666663,24.68,157.96666666666667,2.183333333333333,1.2266666666666668,750,4.601226993865031,7.85,3.933
PLATEAU,17,51,6,74,261,34,295,529,31,0,2,5,21,0,0,5,6,0,0,0,0,2,0,0,2,6,Q4,2021,9.236666666666666,1.96,39.99666666666667,0.6466666666666666,1.5200000000000002,95.11333333333332,12.136666666666668,24.14,15.146666666666668,23.933333333333334,47.46666666666666,3.0500000000000003,2.466666666666667,369,4.986486486486487,9.2182,9.517
RIVERS,11,12,4,27,135,23,158,239,14,0,5,0,6,0,2,4,3,0,2,1,0,0,0,0,0,0,Q4,2021,7.36,1.663333333333333,71.05666666666666,0.93,9.983333333333334,100.71666666666664,18.12333333333333,25.91,23.47,25.826666666666668,261.3666666666667,1.5533333333333337,0.7799999999999999,185,6.851851851851852,4.8156,7.0498
SOKOTO,13,22,0,35,146,25,171,224,61,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Q4,2021,9.473333333333334,1.8733333333333333,23.67333333333333,0.5466666666666667,0.1133333333333333,97.98666666666668,11.396666666666668,22.83,14.71,22.183333333333337,85.8,2.6666666666666665,1.856666666666667,206,5.885714285714286,13.0059,5.2476
TARABA,9,61,0,70,178,9,187,320,25,0,2,0,0,6,0,3,11,0,0,0,0,0,0,0,31,0,Q4,2021,9.26,2.0,47.61333333333334,0.4666666666666666,1.096666666666667,98.14,12.9,25.75333333333333,16.793333333333333,25.99333333333333,95.83333333333331,2.62,1.76,257,3.6714285714285713,8.8904,11.363
YOBE,14,30,1,45,188,25,213,332,29,0,10,2,0,1,1,2,10,1,0,2,0,0,0,0,1,0,Q4,2021,9.613333333333332,1.9166666666666667,32.846666666666664,0.4233333333333333,0.1333333333333333,96.84333333333332,9.383333333333333,23.07333333333333,11.346666666666666,22.793333333333333,143.79999999999998,2.856666666666667,1.6933333333333334,258,5.733333333333333,12.0,11.5
ZAMFARA,9,16,0,25,135,32,167,249,22,0,2,0,0,0,0,5,1,1,0,0,0,0,0,0,1,0,Q4,2021,9.43,1.8966666666666665,27.00333333333333,0.6,0.4833333333333333,95.18333333333334,10.713333333333331,21.973333333333333,13.536666666666669,21.45,87.53333333333335,3.4,2.3000000000000003,192,7.68,12.1704,6.659
ABIA,8,20,5,33,144,13,157,260,20,0,5,1,8,0,0,3,0,0,2,1,0,1,0,0,0,0,Q1,2022,8.02,1.653333333333333,60.68666666666667,0.7000000000000001,1.55,99.88333333333333,16.11,25.64333333333333,21.1,25.50333333333333,183.9333333333333,2.5733333333333333,1.4633333333333336,190,5.757575757575758,5.4527,7.5248
ADAMAWA,17,61,1,79,245,61,306,488,75,0,2,2,0,0,0,15,1,1,2,3,0,0,0,0,0,0,Q1,2022,9.57,2.063333333333333,41.75333333333334,0.2266666666666666,0.0033333333333333,97.98666666666668,5.203333333333333,28.356666666666666,2.7466666666666666,29.773333333333337,21.566666666666663,4.066666666666667,2.91,385,4.873417721518988,9.3265,12.3984
AKWA IBOM,7,8,1,16,35,7,42,84,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Q1,2022,,,,,,,,,,,,,,58,3.625,5.0377,7.9128
ANAMBRA,15,20,3,38,103,22,125,376,24,0,1,0,7,0,0,8,0,0,2,3,0,0,0,1,0,0,Q1,2022,8.253333333333334,1.71,56.883333333333326,0.7033333333333335,1.2933333333333332,99.76333333333334,15.72,25.43,20.576666666666668,25.223333333333333,206.96666666666667,2.9333333333333336,1.7066666666666668,163,4.289473684210527,6.21,7.07
BAUCHI,40,99,1,140,499,73,572,1105,90,0,8,2,0,2,0,19,17,5,11,3,0,0,0,0,7,1,Q1,2022,9.053333333333333,1.87,31.673333333333336,0.5333333333333333,0.3466666666666667,95.27333333333333,6.95,21.286666666666665,7.29,20.83,30.433333333333334,3.7466666666666666,2.563333333333333,712,5.085714285714285,10.3158,9.8442
BAYELSA,2,16,5,23,61,2,63,140,29,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,Q1,2022,7.553333333333334,1.55,64.58666666666666,0.8566666666666666,3.283333333333333,100.75666666666666,17.593333333333334,26.096666666666664,22.82333333333333,26.066666666666663,282.2,1.9566666666666668,1.336666666666667,86,3.739130434782609,4.7719000000000005,6.0699
BENUE,18,52,4,74,221,27,248,461,55,2,2,3,3,0,0,4,4,1,2,2,1,0,0,0,0,1,Q1,2022,8.666666666666666,1.8066666666666664,55.78333333333333,0.43,0.7999999999999999,99.35,11.160000000000002,27.08333333333333,14.223333333333334,28.116666666666664,108.33333333333331,4.58,2.433333333333333,322,4.351351351351352,7.1907,8.1297
BORNO,9,16,0,25,114,25,139,187,15,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Q1,2022,9.75,2.0866666666666664,34.71666666666667,0.0866666666666666,0.0,97.46333333333332,3.023333333333333,25.736666666666668,-3.923333333333333,26.99333333333333,33.266666666666666,3.9033333333333338,3.516666666666667,164,6.56,11.8333,13.15
CROSS RIVER,5,13,3,21,71,8,79,135,13,0,1,0,2,0,0,1,1,0,1,2,0,0,0,0,0,2,Q1,2022,8.266666666666666,1.7700000000000002,60.46666666666667,0.58,0.86,99.57666666666668,14.45,27.526666666666667,19.063333333333333,28.146666666666665,174.46666666666667,2.8866666666666667,1.4833333333333334,100,4.761904761904762,5.9631,8.7268
DELTA,30,44,7,81,227,62,289,568,51,0,13,4,6,1,0,6,2,0,2,0,0,0,0,0,21,0,Q1,2022,7.696666666666666,1.5533333333333337,56.09333333333333,0.8333333333333334,2.98,100.84666666666664,17.683333333333334,25.88,22.88,25.73333333333333,281.96666666666664,1.1233333333333333,0.3999999999999999,370,4.567901234567901,5.532,5.8987
EBONYI,11,17,5,33,87,22,109,217,20,0,2,0,0,0,0,12,2,0,1,0,0,0,0,0,3,0,Q1,2022,8.626666666666667,1.82,56.01666666666667,0.4366666666666667,0.5533333333333333,99.90666666666668,11.920000000000002,27.986666666666668,15.253333333333332,29.026666666666667,99.63333333333333,4.006666666666667,2.1966666666666668,142,4.303030303030303,6.2649,8.013
EDO,21,42,14,77,176,54,230,569,80,0,4,2,16,0,0,9,0,0,2,1,0,0,0,0,7,0,Q1,2022,7.72,1.5566666666666666,59.96,0.7533333333333333,1.4733333333333334,99.88,16.709999999999997,25.343333333333334,21.686666666666667,25.07333333333333,199.9,1.5566666666666666,0.89,307,3.987012987012987,6.5244,5.8987
EKITI,3,14,2,19,35,3,38,74,19,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,1,Q1,2022,7.936666666666666,1.596666666666667,53.71333333333333,0.8233333333333334,3.553333333333333,96.72333333333331,15.406666666666666,24.243333333333336,19.866666666666664,23.88,165.03333333333333,2.09,1.24,57,3.0,7.6656,5.3103
ENUGU,21,28,8,57,211,38,249,600,18,0,1,0,17,1,0,4,0,0,0,1,0,0,0,0,20,1,Q1,2022,8.253333333333334,1.71,56.883333333333326,0.5933333333333333,0.6466666666666666,99.21999999999998,13.633333333333333,25.766666666666666,17.823333333333334,25.786666666666665,100.26666666666668,3.4766666666666666,1.9833333333333327,306,5.368421052631579,6.5244,7.5086
FCT,43,186,90,319,467,56,523,1609,240,0,27,3,4,0,0,4,33,0,24,3,2,2,0,1,65,30,Q1,2022,8.693333333333333,1.82,48.14333333333334,0.5033333333333333,0.45,98.01,11.296666666666669,25.526666666666667,14.683333333333332,25.75333333333333,116.3,3.763333333333333,1.8133333333333328,842,2.6394984326018807,8.8941,7.186
GOMBE,10,63,0,73,274,16,290,415,53,0,4,3,0,0,2,9,7,2,3,0,0,0,0,0,14,0,Q1,2022,9.353333333333332,1.9533333333333327,37.25666666666667,0.3966666666666666,0.0,96.71,5.373333333333334,24.41,3.27,24.563333333333333,27.73333333333333,3.9333333333333336,3.1633333333333336,363,4.972602739726027,10.2892,11.167
IMO,7,16,3,26,54,17,71,134,5,0,3,0,7,0,0,1,1,0,0,0,0,0,0,0,10,0,Q1,2022,8.02,1.653333333333333,60.68666666666667,0.7566666666666667,1.9866666666666664,100.23,16.496666666666666,25.77333333333333,21.55,25.590000000000003,192.36666666666667,2.4933333333333336,1.38,97,3.730769230769231,5.572,7.0588
JIGAWA,18,83,1,102,417,37,454,724,168,1,13,0,0,11,0,6,2,0,3,0,0,0,0,0,0,0,Q1,2022,8.71,1.7266666666666666,32.99333333333333,0.3033333333333333,0.2333333333333333,96.65666666666668,4.6866666666666665,22.070000000000004,1.6766666666666663,22.07333333333333,49.43333333333334,2.72,1.4933333333333334,556,5.450980392156863,12.228,9.561
KADUNA,82,106,9,197,887,197,1084,1818,110,0,13,2,1,1,1,15,19,2,13,1,0,0,0,4,0,14,Q1,2022,8.956666666666665,1.88,30.80333333333333,0.5966666666666667,1.9833333333333327,94.1,8.26,21.07,9.453333333333331,20.57333333333333,62.56666666666666,4.45,3.283333333333333,1281,6.50253807106599,10.3764,7.709799999999999
KANO,42,48,2,92,417,138,555,782,80,0,5,1,2,2,0,6,7,0,5,3,0,0,0,1,11,1,Q1,2022,8.91,1.81,29.0,0.3899999999999999,0.2133333333333333,96.17333333333332,5.663333333333334,20.586666666666662,4.3533333333333335,20.11,52.8,2.4133333333333336,1.096666666666667,647,7.032608695652174,11.999,8.522
KATSINA,12,1,0,13,76,37,113,143,10,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,Q1,2022,8.553333333333333,1.6866666666666668,27.53,0.1766666666666666,0.1033333333333333,95.81666666666666,3.86,22.88,-1.14,23.39333333333333,77.53333333333335,4.98,3.373333333333333,126,9.692307692307692,12.9843,7.6223
KEBBI,7,46,4,57,229,22,251,350,57,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Q1,2022,8.556666666666667,1.6900000000000002,38.00333333333333,0.1733333333333333,0.0,98.31,5.373333333333334,25.286666666666665,3.5500000000000003,25.73,76.39999999999999,3.473333333333333,2.0166666666666666,308,5.4035087719298245,12.4504,4.1999
KOGI,41,86,15,142,474,95,569,1449,132,1,9,5,13,2,0,20,11,0,6,2,10,0,0,1,2,8,Q1,2022,7.986666666666667,1.6,55.586666666666666,0.7799999999999999,2.5866666666666664,98.82333333333334,14.19,24.77,18.736666666666668,24.27333333333333,112.06666666666668,3.143333333333333,1.6833333333333331,711,5.007042253521127,7.733,6.6906
KWARA,32,55,7,94,315,86,401,635,109,1,10,4,5,0,0,7,4,0,2,0,0,0,0,0,3,1,Q1,2022,8.37,1.71,49.02,0.49,0.6933333333333334,97.66333333333334,11.783333333333331,25.856666666666666,15.37,26.57333333333333,103.63333333333333,3.1833333333333336,2.02,495,5.26595744680851,8.9669,4.3874
LAGOS,25,98,75,198,276,48,324,1118,88,0,9,9,34,0,0,6,13,0,14,0,0,3,0,6,0,16,Q1,2022,7.983333333333333,1.6,56.63,0.61,0.9366666666666666,100.67,18.206666666666667,27.093333333333334,23.436666666666667,27.153333333333336,178.0666666666667,1.8,2.0733333333333333,522,2.636363636363636,6.5244,3.3792
NASARAWA,47,189,11,247,556,70,626,1225,183,0,10,6,6,3,0,18,27,0,17,5,0,0,0,0,44,13,Q1,2022,8.693333333333333,1.82,48.14333333333334,0.5733333333333334,1.9266666666666667,98.20333333333332,11.660000000000002,25.24,15.166666666666666,25.28,135.20000000000002,3.0666666666666664,1.8333333333333333,873,3.534412955465587,8.54,7.7197
NIGER,62,80,4,146,754,155,909,1580,124,0,8,0,2,2,0,22,1,2,3,1,0,0,0,21,4,7,Q1,2022,8.38,1.68,43.336666666666666,0.3899999999999999,0.4733333333333333,99.49666666666668,11.61,26.76,15.54,27.633333333333336,115.8,3.0,1.58,1055,7.226027397260274,9.0819,6.019
OGUN,63,158,47,268,656,126,782,1915,260,0,7,5,7,2,0,16,7,0,18,0,1,2,0,0,4,15,Q1,2022,7.983333333333333,1.6,56.63,0.73,1.0166666666666666,99.93,17.286666666666665,25.84,22.383333333333336,25.820000000000004,163.53333333333333,1.8666666666666665,1.1266666666666667,1050,3.917910447761194,6.998,3.4737
ONDO,33,82,12,127,355,54,409,1038,95,0,11,3,8,2,0,9,22,0,7,0,0,0,0,0,0,0,Q1,2022,7.936666666666666,1.596666666666667,53.71333333333333,0.8233333333333334,3.553333333333333,96.72333333333331,15.406666666666666,24.243333333333336,19.866666666666664,23.88,165.03333333333333,2.09,1.24,536,4.2204724409448815,7.2508,5.2103
OSUN,23,67,12,102,376,29,405,883,75,0,18,6,4,1,1,13,2,1,15,0,0,0,0,0,1,2,Q1,2022,7.836666666666666,1.5666666666666669,52.53,0.8133333333333334,2.5033333333333334,98.07,16.026666666666667,24.863333333333333,20.756666666666664,24.62,155.53333333333333,1.79,0.9633333333333334,507,4.970588235294118,7.5629,4.52
OYO,46,113,14,173,540,73,613,1337,124,0,14,5,12,2,0,14,15,0,10,1,0,0,0,4,0,4,Q1,2022,7.836666666666667,1.5533333333333337,53.24,0.7166666666666667,1.5,97.77666666666669,14.923333333333332,24.863333333333333,19.453333333333333,24.68,124.36666666666667,2.8166666666666664,1.71,786,4.543352601156069,7.85,3.933
PLATEAU,22,51,0,73,270,36,306,508,26,0,0,2,18,1,0,8,6,0,7,1,0,1,0,0,1,5,Q1,2022,8.96,1.8866666666666667,34.193333333333335,0.2466666666666666,0.12,95.04666666666668,6.0633333333333335,26.453333333333333,3.823333333333333,27.62,30.866666666666664,4.08,4.2,379,5.191780821917808,9.2182,9.517
RIVERS,5,19,5,29,58,7,65,157,20,0,4,1,3,0,0,2,3,0,4,0,0,0,0,0,0,1,Q1,2022,7.546666666666667,1.6,68.77333333333333,0.8233333333333334,2.89,100.63333333333333,17.349999999999998,25.96666666666667,22.56,25.813333333333333,288.2333333333333,1.76,0.94,94,3.2413793103448274,4.8156,7.0498
SOKOTO,8,17,2,27,103,13,116,231,19,0,3,0,1,0,1,2,1,0,1,0,0,0,0,0,0,5,Q1,2022,9.053333333333333,1.8033333333333332,24.14,0.2333333333333333,0.0,97.96333333333332,4.86,24.18,2.18,24.296666666666667,80.89999999999999,4.743333333333333,2.873333333333333,143,5.296296296296297,13.0059,5.2476
TARABA,14,56,1,71,248,32,280,420,21,0,5,0,0,3,0,12,16,0,1,0,0,0,0,3,13,0,Q1,2022,9.306666666666668,2.036666666666666,49.31666666666666,0.27,0.0333333333333333,98.07333333333334,6.673333333333333,27.01333333333333,6.116666666666667,28.176666666666662,108.63333333333333,3.583333333333333,2.9133333333333336,351,4.943661971830986,8.8904,11.363
YOBE,17,9,0,26,133,63,196,272,21,0,5,0,0,1,0,3,3,0,4,0,0,0,0,0,0,1,Q1,2022,9.396666666666668,1.923333333333333,28.69,0.11,0.0433333333333333,96.86333333333334,3.5766666666666667,23.646666666666665,-1.7899999999999998,24.44666666666667,39.8,3.6,2.703333333333333,222,8.538461538461538,12.0,11.5
ZAMFARA,5,21,1,27,130,10,140,185,20,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,0,Q1,2022,8.733333333333334,1.7466666666666668,30.33666666666667,0.3833333333333333,0.0666666666666666,95.16333333333334,5.906666666666666,21.913333333333338,4.566666666666666,22.036666666666665,85.3,5.17,3.3633333333333333,167,6.185185185185185,12.1704,6.659
ABIA,10,13,6,29,107,23,130,224,21,0,7,0,5,0,0,1,2,0,0,1,0,0,0,0,0,5,Q2,2022,7.683333333333334,1.79,83.28333333333333,0.7066666666666667,5.226666666666667,100.0,18.60666666666667,26.03,23.85,26.116666666666664,221.2,1.9366666666666663,1.403333333333333,159,5.482758620689655,5.4527,7.5248
ADAMAWA,13,50,1,64,176,25,201,345,50,0,1,1,0,1,0,11,11,0,2,6,0,0,0,0,0,2,Q2,2022,9.55,2.1466666666666665,68.60666666666667,0.4633333333333334,5.286666666666666,97.99,16.743333333333336,28.820000000000004,21.57333333333333,29.616666666666664,252.66666666666663,3.0933333333333333,2.02,265,4.140625,9.3265,12.3984
AKWA IBOM,9,15,4,28,63,12,75,125,17,1,0,4,3,1,0,1,0,1,3,0,0,0,0,0,0,0,Q2,2022,,,,,,,,,,,,,,103,3.678571428571429,5.0377,7.9128
ANAMBRA,11,11,7,29,45,18,63,160,7,0,0,1,11,0,0,3,0,0,2,1,0,0,0,0,5,0,Q2,2022,7.756666666666667,1.7933333333333332,80.47,0.71,5.846666666666667,99.87,18.723333333333333,26.106666666666666,23.933333333333334,26.236666666666665,226.33333333333331,2.0966666666666662,1.5833333333333333,92,3.1724137931034484,6.21,7.07
BAUCHI,27,61,2,90,351,79,430,652,62,0,7,3,2,0,0,6,3,7,4,1,0,0,0,0,9,3,Q2,2022,9.506666666666668,2.1466666666666665,66.11666666666666,0.63,17.466666666666665,95.13,16.05333333333333,26.843333333333334,20.396666666666665,27.1,207.33333333333331,2.94,1.74,520,5.777777777777778,10.3158,9.8442
BAYELSA,1,11,3,15,25,4,29,82,21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Q2,2022,7.073333333333333,1.656666666666667,81.60333333333334,0.8966666666666666,9.28,100.87666666666668,19.05666666666667,26.21666666666667,24.39,26.376666666666665,220.23333333333332,1.72,1.25,44,2.933333333333333,4.7719000000000005,6.0699
BENUE,26,58,0,84,273,51,324,559,51,1,6,1,3,0,1,11,8,0,0,1,0,1,0,0,0,6,Q2,2022,8.263333333333334,1.903333333333333,80.20333333333333,0.62,3.2533333333333334,99.43333333333334,17.8,27.070000000000004,23.01,27.516666666666666,225.3,2.5933333333333333,1.91,408,4.857142857142857,7.1907,8.1297
BORNO,3,10,0,13,57,7,64,94,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Q2,2022,9.98,2.19,66.33,0.1433333333333333,0.7266666666666667,97.17666666666668,11.893333333333333,32.666666666666664,14.796666666666669,34.7,225.96666666666667,4.22,2.9333333333333336,77,5.923076923076923,11.8333,13.15
CROSS RIVER,14,14,1,29,60,18,78,115,20,0,1,0,1,0,0,10,4,0,0,0,0,0,0,0,0,0,Q2,2022,7.71,1.84,84.30666666666667,0.71,4.933333333333334,99.69333333333331,18.33333333333333,26.346666666666664,23.55,26.563333333333333,221.23333333333332,2.266666666666667,1.6166666666666665,107,3.689655172413793,5.9631,8.7268
DELTA,23,30,13,66,173,32,205,390,35,0,12,5,3,0,1,6,3,0,2,0,1,1,0,2,24,1,Q2,2022,7.28,1.6966666666666663,77.77,0.8766666666666666,9.413333333333334,100.96333333333332,19.236666666666668,26.08,24.55666666666667,26.12,222.63333333333333,0.9133333333333334,0.34,271,4.106060606060606,5.532,5.8987
EBONYI,8,15,2,25,76,10,86,171,11,0,3,0,1,0,0,5,1,0,1,0,0,0,0,0,1,3,Q2,2022,8.036666666666667,1.8666666666666665,80.37,0.61,2.4766666666666666,100.02333333333333,17.98,27.08333333333333,23.273333333333337,27.563333333333333,222.9,2.47,1.85,111,4.44,6.2649,8.013
EDO,21,31,6,58,207,36,243,447,55,0,5,1,11,0,0,5,3,0,3,0,0,0,0,0,7,0,Q2,2022,7.483333333333333,1.7266666666666666,80.86,0.7766666666666667,7.396666666666666,99.98666666666666,18.973333333333333,25.73333333333333,24.166666666666668,25.75333333333333,230.9,1.3666666666666665,0.8266666666666667,301,5.189655172413793,6.5244,5.8987
EKITI,7,17,7,31,58,13,71,174,54,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,1,0,Q2,2022,7.916666666666667,1.83,76.42,0.8533333333333334,7.15,96.81333333333332,18.07333333333333,24.57333333333333,22.836666666666662,24.653333333333336,223.73333333333332,2.0766666666666667,1.32,102,3.290322580645161,7.6656,5.3103
ENUGU,16,43,11,70,215,24,239,491,28,0,1,2,9,0,0,6,6,0,2,0,0,0,0,0,18,3,Q2,2022,7.756666666666667,1.7933333333333332,80.47,0.6266666666666666,3.68,99.32,18.186666666666667,26.206666666666667,23.36,26.44666666666667,228.66666666666663,2.33,1.7466666666666668,309,4.414285714285715,6.5244,7.5086
FCT,80,353,105,538,1028,111,1139,2664,425,0,36,16,4,3,2,18,49,0,75,3,0,1,0,2,188,20,Q2,2022,8.556666666666667,1.9266666666666667,76.22333333333334,0.5933333333333334,4.883333333333334,98.06,17.836666666666666,26.85333333333333,22.82333333333333,27.203333333333333,201.96666666666667,2.3800000000000003,1.38,1677,3.117100371747212,8.8941,7.186
GOMBE,13,67,1,81,199,35,234,357,43,2,7,2,0,5,0,3,13,0,2,1,0,0,0,0,16,0,Q2,2022,9.836666666666666,2.183333333333333,66.35666666666667,0.6166666666666667,19.4,96.62,16.846666666666668,27.24333333333333,21.363333333333333,27.73333333333333,213.16666666666663,3.03,2.313333333333333,315,3.888888888888889,10.2892,11.167
IMO,5,13,2,20,46,9,55,94,6,0,1,0,3,0,0,0,6,0,0,0,0,0,0,0,10,0,Q2,2022,7.683333333333334,1.79,83.28333333333333,0.7733333333333333,6.803333333333334,100.34666666666668,18.83333333333333,26.21666666666667,24.106666666666666,26.33,223.0,1.7699999999999998,1.25,75,3.75,5.572,7.0588
JIGAWA,13,74,1,88,333,46,379,594,99,0,11,1,0,5,0,10,3,0,3,9,0,0,1,1,3,1,Q2,2022,9.916666666666666,2.1,57.77333333333333,0.2933333333333333,3.67,96.38333333333333,13.313333333333333,30.15333333333333,16.896666666666665,30.8,225.9333333333333,2.536666666666666,1.41,467,5.306818181818182,12.228,9.561
KADUNA,73,106,2,181,717,177,894,1586,99,0,15,9,2,0,0,23,9,1,10,3,0,0,0,6,1,3,Q2,2022,9.356666666666667,2.0966666666666667,69.20666666666666,0.8266666666666667,41.09,94.08,17.313333333333333,24.596666666666664,21.62,24.66333333333333,219.2,2.4433333333333334,1.596666666666667,1075,5.939226519337017,10.3764,7.709799999999999
KANO,37,53,1,91,406,74,480,683,71,0,2,2,2,2,0,6,7,0,7,1,0,0,0,0,6,1,Q2,2022,9.66,2.083333333333333,63.06666666666666,0.3466666666666667,3.643333333333334,95.91333333333334,14.0,29.3,17.89,29.37333333333333,228.13333333333333,2.243333333333333,1.09,571,6.274725274725275,11.999,8.522
KATSINA,14,12,0,26,131,22,153,197,21,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,Q2,2022,9.963333333333331,2.1266666666666665,59.09333333333333,0.27,4.276666666666666,95.56666666666666,12.87,29.81,16.1,31.136666666666667,237.36666666666667,3.3233333333333337,2.4033333333333333,179,6.884615384615385,12.9843,7.6223
KEBBI,10,29,0,39,138,13,151,180,33,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,Q2,2022,10.173333333333334,2.183333333333333,58.48333333333333,0.2633333333333333,3.2433333333333336,98.11333333333334,14.473333333333334,31.66,18.96333333333333,32.7,199.36666666666667,3.2433333333333336,1.7566666666666666,190,4.871794871794871,12.4504,4.1999
KOGI,35,83,21,139,395,81,476,1242,131,0,9,9,17,0,0,17,16,0,16,2,9,1,0,2,2,2,Q2,2022,8.090000000000002,1.843333333333333,74.08333333333333,0.7566666666666667,5.526666666666666,98.89,18.44333333333333,26.043333333333333,23.52,26.17333333333333,221.33333333333331,2.516666666666667,1.9166666666666667,615,4.424460431654676,7.733,6.6906
KWARA,39,42,12,93,342,67,409,727,67,0,4,5,4,0,3,13,11,0,2,1,0,1,0,0,14,2,Q2,2022,8.686666666666666,1.9766666666666663,70.74666666666667,0.5433333333333333,3.61,97.69,17.073333333333334,27.35333333333333,22.03,28.113333333333333,215.80000000000004,2.9966666666666666,2.37,502,5.397849462365591,8.9669,4.3874
LAGOS,23,74,51,148,209,32,241,720,87,0,3,10,22,0,0,8,5,0,4,0,0,4,1,0,0,5,Q2,2022,7.739999999999999,1.7633333333333334,76.96333333333332,0.6466666666666666,7.090000000000001,100.78666666666668,19.1,26.87333333333333,24.41,27.19333333333333,221.5,1.8866666666666667,2.1133333333333333,389,2.6283783783783785,6.5244,3.3792
