STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,QUARTER,YEAR,All Sky Surface Total PAR (MJ/m^2/day),All Sky Surface UV Index (W m-2 x 40),deg Cloud Amount (%),Surface Soil Wetness (1),Precipitation Corrected (mm/day),Surface Pressure (kPa),Specific Humidity at 2 Meters (g/kg),Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Earth Skin Temperature (C),Wind Direction at 2 Meters (Degrees),Wind Speed at 10 Meters Range (m/s),Wind Speed at 2 Meters (m/s),CAUSE_SUM,CAUSE_RATE,lat,lon
IMO,9,20,2,31,91,15,106,230,11,0,3,0,1,0,0,1,4,1,0,1,0,0,0,0,2,0,Q4,2020,7.88,1.7233333333333334,70.92999999999999,0.8966666666666666,4.703333333333333,100.35666666666668,18.236666666666665,26.15333333333333,23.570000000000004,26.153333333333336,254.0,1.846666666666667,1.0166666666666668,137,4.419354838709677,5.572,7.0588
JIGAWA,27,61,4,92,318,64,382,628,118,1,11,2,0,12,0,7,1,0,8,10,0,0,0,0,6,1,Q4,2020,9.463333333333331,1.906666666666667,20.73,0.41,1.8066666666666664,96.68,9.263333333333334,23.396666666666665,11.4,23.16,53.06666666666666,2.1666666666666665,0.9166666666666666,474,5.152173913043479,12.228,9.561
KADUNA,93,175,13,281,1010,224,1234,2234,194,1,13,0,5,3,4,15,13,8,22,2,2,0,0,0,35,46,Q4,2020,9.563333333333333,2.02,28.703333333333333,0.7666666666666666,1.5633333333333332,94.19,11.893333333333333,21.653333333333336,15.356666666666667,21.14333333333333,70.2,3.293333333333333,2.2966666666666664,1515,5.391459074733096,10.3764,7.709799999999999
KANO,54,46,2,102,499,194,693,1013,90,0,4,0,2,0,2,7,13,0,6,0,0,0,0,2,3,1,Q4,2020,9.49,1.9566666666666668,23.66333333333333,0.4233333333333333,1.6666666666666667,96.2,9.453333333333331,22.866666666666664,11.753333333333332,22.43,55.1,2.01,0.6133333333333333,795,7.794117647058823,11.999,8.522
KATSINA,19,54,4,77,277,39,316,421,80,0,1,2,3,0,0,4,7,3,3,1,1,0,0,0,1,1,Q4,2020,9.336666666666668,1.9,20.433333333333334,0.5399999999999999,1.97,95.86333333333334,10.22,22.39,12.826666666666668,21.53333333333333,88.89999999999999,3.4,2.0866666666666664,393,5.103896103896104,12.9843,7.6223
KEBBI,21,33,4,58,222,56,278,387,45,0,3,2,0,0,0,6,4,0,1,0,0,0,0,0,1,2,Q4,2020,9.366666666666667,1.88,20.25333333333333,0.5266666666666667,0.47,98.39666666666666,11.8,23.77333333333333,15.653333333333334,23.55333333333333,81.73333333333333,2.04,1.153333333333333,336,5.793103448275862,12.4504,4.1999
KOGI,23,82,17,122,335,55,390,851,91,0,8,4,8,1,0,16,8,2,6,6,0,1,0,1,26,0,Q4,2020,8.363333333333333,1.75,52.373333333333335,0.7733333333333333,2.51,98.92333333333332,16.006666666666668,25.82333333333333,21.096666666666668,25.56,164.4333333333333,2.3866666666666667,1.2766666666666666,512,4.19672131147541,7.733,6.6906
KWARA,26,64,12,102,313,60,373,694,105,1,5,3,5,0,0,18,6,2,0,0,0,0,0,0,15,3,Q4,2020,8.833333333333334,1.8633333333333333,46.03666666666667,0.5033333333333333,1.1733333333333331,97.75666666666666,13.496666666666668,26.66,17.886666666666667,27.37,82.56666666666666,3.1,1.5466666666666666,475,4.65686274509804,8.9669,4.3874
LAGOS,14,61,38,113,181,21,202,602,46,0,3,12,23,0,0,4,6,6,3,0,0,1,0,3,0,7,Q4,2020,8.12,1.72,58.876666666666665,0.6733333333333333,2.296666666666667,100.79333333333334,18.63,26.73,23.99333333333333,27.093333333333334,225.9333333333333,1.71,1.8133333333333328,315,2.7876106194690267,6.5244,3.3792
NASARAWA,42,112,46,200,513,65,578,961,114,0,6,4,1,0,0,12,52,5,14,2,0,0,0,0,32,29,Q4,2020,9.23,1.95,38.70666666666667,0.5766666666666667,1.586666666666667,98.3,13.8,26.39333333333333,18.346666666666668,26.41,116.13333333333333,2.556666666666666,1.3033333333333337,778,3.89,8.54,7.7197
